probe_config,condition,public_condition,scan_id,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,source_to_focus_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,beam_factor,born_response,kirchhoff_response,edge_gtd_response,total_physics_response,local_geometry_echo_proxy,response_vs_geometry_percent,amplitude_note,calibration_note,detection_status
1D16,PA1_TO_C1,PA1 → C1,0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.0280202406246728,-0.5759963036720268,0.7874529126712777,0.2833311364677242,0.08997278110895322,0.1516205489701725,0.41993957323747994,40.02995458500094,1.0490633266789406,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,LOW
1D16,PA1_TO_C1,PA1 → C1,1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-148.46207204866772,151.96678324749905,-91.53103465000001,-123.18049367645828,121.3302084076179,-51.8,57.85402132978515,56.18107365714283,6.395524245194467,6.2548882950061735,57.51490377671017,1.0828036405504378,16,1.0370929906148119,-0.9358685321897415,0.663652214266615,0.24089417086766698,0.07129488344661121,0.12648778389649673,0.35094147056861996,40.58306208090991,0.8647486231298975,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,2,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,57.38960567349216,55.41729548162187,7.8830443786872815,7.749152132980269,56.86402624312537,1.079272506926678,16,1.045485489852626,0.5273057474866244,0.5338383948480719,0.19534210350895662,0.05285313565784083,0.10012898197811997,0.27865937691593395,41.142390298640976,0.6773047819857435,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,3,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-145.55818013084513,153.32952804921314,-90.46755184000001,-121.04708600941288,123.45658981264891,-51.8,56.97230656494832,54.665946797017796,9.374529785161968,9.245300000422722,56.21715168196124,1.075792187759074,16,1.0531432483183758,0.3539154861482812,0.4098491169328327,0.15107044061447145,0.03665377655961108,0.07520893064934767,0.21034651825874418,41.70786629683658,0.5043329638627386,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,4,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,56.60299024751338,53.92415761661508,10.868690507921741,10.742707420023205,55.57420932634017,1.0778585582157092,16,1.0600146695012433,-0.7258300559089943,0.3003053269264805,0.1114148181550026,0.023777244488948246,0.05359688074446141,0.1510311547107298,42.28160625540282,0.3572029733175777,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,5,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,56.27541381627656,53.18181887537765,12.364928406424344,12.241016283756519,54.927950266999574,1.0772442622135348,16,1.066184963044131,0.7557194759546142,0.20999457267770952,0.07836256949844812,0.014428355253954203,0.036239984824976264,0.10322472766190288,42.87179431269141,0.2407753846480484,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,6,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,56.00216066064938,52.46005672553427,13.861496485117932,13.740116624502683,54.290433722767865,1.0742829357756332,16,1.071387233852921,-0.36431733064366256,0.14014411520445552,0.05255201557538333,0.00818819021012109,0.023245682509808848,0.06718871063625062,43.46163809789094,0.15459313909180766,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,7,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,55.773812425267614,51.740421764172034,15.35878830882876,15.239434369052887,53.651447255039315,1.073911509958231,16,1.0757736900341022,-0.5207345609491264,0.08926515374786373,0.03361018634358029,0.004346903187472003,0.014147536488242197,0.0416837008154356,44.06612706776966,0.09459352021413156,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,8,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-138.24746120457553,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,55.59594161344636,51.032884514235406,16.85607502426771,16.7389910283084,53.0161758639752,1.070739099281807,16,1.0792154653513142,0.925484424148422,0.054267558719515205,0.02049823602293648,0.0021584956312582482,0.008169127234599992,0.024660687111035775,44.67707482542955,0.05519763146399921,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
1D16,PA1_TO_C1,PA1 → C1,9,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,55.46889710405107,50.33439133063327,18.35365453347459,18.23878619671154,52.3845895661162,1.0701754059913196,16,1.0816872721923656,0.662092916101518,0.03148694613654554,0.01192066010663776,0.0010024709284411812,0.0044750271344575565,0.013918526535629201,45.29706110923811,0.030727217604831734,"Relative physics-layer amplitude, not calibrated dB",Local geometry echo proxy used; real geometry calibration in V6.3,
